id;status;active;remarks;contents;branch;document_title;document_number;recipient_address;npwp;warehouse_source;document_source;reference;date;product_description;quantity;amount;armada_number;container_number;created_date;created_by;last_modified_date;last_modified_by
0eebe45c-a20b-40e6-8c22-32e208660d21;In;true;JBOD Solutions Frozen;SSL gold 24/365;Strategist;Rial haptic Botswana;Berkshire Idaho;deposit architect Rustic;primary;mission-critical;Practical methodical calculate;Dong Radial;Coordinator extensible;Barbados SSL;20907;38075;Fish;markets;2023-04-18T01:39:43;pixel;2023-04-17T11:44:01;Buckinghamshire Licensed
acf79adb-3645-4883-830f-c13bf63e051b;be;false;generate withdrawal e-tailers;Gloves Court Account;Architect purple;Regional synthesize;SAS;Analyst;clear-thinking;Clothing Walk copy;Integrated Senior;generating optical e-tailers;Senior;zero redefine Ridge;67418;84900;navigating hack neural-net;COM Home;2023-04-17T09:30:06;Sleek Functionality Buckinghamshire;2023-04-17T16:11:19;salmon Strategist
64a9ee8f-391d-4355-b7f1-5d9b44597dbc;Tr;true;Pants Home driver;Officer Forward;Gorgeous;enable Som networks;Games transmit Peso;Som violet;engine hack HDD;payment;User-friendly Soft;Kwacha Cross-platform;Walk Plastic Spur;Table Liaison compressing;24962;12675;Steel digital;Program Berkshire;2023-04-17T17:43:02;Naira payment Albania;2023-04-17T21:26:39;Moroccan support
68df1acb-92bf-434a-a484-fb7bac61e8ce;va;false;Florida Malaysia;auxiliary;monetize database;ubiquitous Chips;cross-media Account Seamless;PCI;Avon overriding payment;Georgia Fantastic Pants;Electronics Rest Directives;Netherlands;synergy optical;New;59777;11434;internet multi-byte;protocol;2023-04-18T04:21:40;Fantastic;2023-04-18T05:32:04;array GB COM
a72effb9-496a-4979-b9fa-389d55529692;cr;true;cross-platform;ADP Integration granular;Investment salmon;Village Granite;card yellow;metrics Account;value-added Movies;invoice;West;deposit utilisation;SQL Technician invoice;Buckinghamshire Upgradable;44228;38317;invoice Research;XSS lavender rich;2023-04-17T16:45:12;blue Direct Escudo;2023-04-17T11:26:06;Uruguayo structure
dd55c684-ba61-4b97-9ba0-5260a7cf0381;An;false;Creative withdrawal state;target;Mississippi virtual;Automotive input;Automotive;Fresh;uniform;bypassing Bedfordshire;reintermediate;redundant next-generation circuit;Balanced Chair;channels wireless;51799;8707;Direct;services Investment;2023-04-18T03:19:03;Games mobile;2023-04-17T22:21:54;Ball
dd982025-0807-442f-9d78-5802f8abcd98;by;true;Village;Birr protocol;Corporate Utah Gibraltar;Port Rupee SCSI;Direct;support Intelligent;copying;Checking;strategize Home Unbranded;primary parallelism;Bahamian;archive payment;52271;40677;Australian Intelligent Oval;Incredible;2023-04-17T18:50:12;Cotton Cove innovate;2023-04-17T11:56:40;Outdoors Loop
43827316-d595-48de-b854-a806aca6b732;e-;true;expedite Loan;Singapore;Georgia EXE Fantastic;Mountains Benin primary;Bacon;pink;digital Bedfordshire;Afghanistan supply-chains Robust;Hampshire Corner;Fully-configurable Implementation Dollar;Bike;programming;64388;4928;Dollar index;TCP Supervisor;2023-04-18T03:20:58;Borders Electronics Supervisor;2023-04-18T02:02:08;multi-tasking
66265b97-8ddc-403d-b902-d9bd66bc4956;Be;true;Won program Frozen;fuchsia Connecticut;Lesotho redefine markets;Yuan definition;Concrete multi-byte;hack XML;Mouse;Luxembourg compressing Metrics;Music;ubiquitous orange driver;Assistant Berkshire Bahraini;Developer Wooden drive;39786;79649;backing auxiliary Garden;North composite gold;2023-04-18T05:31:04;embrace;2023-04-18T05:02:34;of
6768f5b8-e36b-4e82-b51f-2ad92d386dac;co;true;Generic;web-enabled;secondary Human navigate;Gloves systems Electronics;COM Home Cambridgeshire;South Sweden withdrawal;Generic;Riel;Mobility Soft;Sausages Buckinghamshire;calculate sensor synthesizing;Niue capacitor;23309;45772;Forint Pound;Security;2023-04-17T16:56:49;override Liaison;2023-04-17T16:45:21;initiatives
