id;status;active;remarks;contents;branch;document_title;document_number;recipient_address;npwp;warehouse_source;document_source;reference;status;date;product_description;source_location;lot_no;quantity;amount;source_destination;armada_name;armada_number;created_date;created_by;last_modified_date;last_modified_by
858fbc3f-5c4b-4460-99d7-d9a24cb7f276;up bluetooth;true;Tuna;Mouse deposit withdrawal;optimize initiatives;withdrawal invoice vortals;Soft;e-business hack;Borders Enhanced;Specialist driver;Wooden;Borders;up bluetooth;online SAS open-source;payment;open-source Manager Frozen;Pass Arkansas;39577;59574;Grocery;Generic Soft Electronics;Rial;2023-04-18T06:51:23;content-based;2023-04-18T06:13:46;deposit index
b9a53967-6d26-41f6-a2e8-75eace3ce273;Cambridgeshire transition Bike;true;Movies circuit;withdrawal Infrastructure Object-based;RAM productize bandwidth;lavender;index purple Virginia;User-friendly Bedfordshire River;Credit SMTP;compressing methodologies Pizza;red Frozen Frozen;Seamless Dalasi;Cambridgeshire transition Bike;Multi-lateral Organic;SQL Baby;withdrawal;SQL Borders Rican;81697;23670;Pula turquoise;customized;policy generating empower;2023-04-17T20:34:05;monitor partnerships blockchains;2023-04-17T21:57:49;Operative Mauritania
1e49d6c3-23ac-4871-b222-035ec62276ed;violet scalable;true;program up Tasty;pixel green;Licensed syndicate bandwidth-monitored;synthesize;XML;synthesizing;HTTP;didactic payment;cyan;THX Account;violet scalable;Intelligent Principal Assistant;Square Web;invoice European;bypass Frozen;35325;52005;JSON River e-tailers;compressing;invoice Walk;2023-04-18T01:50:00;synthesize Infrastructure;2023-04-17T13:06:00;Investor
3e104dc5-ccb1-415d-8dbf-2320b5906984;orchestrate Tasty;false;SAS monitor;Gardens Port Checking;function;Corners Usability;Gloves;IB;solutions Metal sexy;Direct Marketing;Assistant synthesizing;Checking Future;orchestrate Tasty;Multi-lateral Forge;compressing;Dynamic;teal integrated;80143;44452;calculating fuchsia;Total management;Engineer initiatives;2023-04-17T18:00:07;Hat Inverse CSS;2023-04-17T12:24:05;bluetooth
83690245-75fc-4891-b020-8f49d88a0e89;Agent Berkshire Fresh;false;magnetic;Sports Wooden;cyan Falls;Niger mesh;Kip Account;AGP encoding hacking;invoice benchmark SAS;Islands Cambridgeshire;Green;Salad;Agent Berkshire Fresh;program;channels;Unbranded wireless;array port;24189;74071;help-desk;monitor payment;Pizza Garden Corners;2023-04-17T17:48:23;Computers;2023-04-17T19:06:01;Designer SMTP
24ef1881-c2d6-419c-ba7d-7801ef249217;Awesome compressing;true;Vista;Guinea;Ameliorated;Vista Accounts;Intranet SCSI Self-enabling;eyeballs Rwanda;value-added synthesize;intranet SDD Customer;experiences;disintermediate Ball;Awesome compressing;Response;deg;South bypassing;Savings;36364;27260;repurpose;Keyboard synthesize;mission-critical national capacitor;2023-04-18T01:19:14;Object-based Mount;2023-04-17T23:02:06;Car Hill
64b75de4-9587-4fba-ba88-403c6f26bfd3;Keyboard overriding neural;false;Investment leading-edge;overriding bypassing;cross-platform;multi-byte Hawaii;Avon Planner;RSS Fork;extensible Cheese;Tuna Communications Ecuador;primary;generating;Keyboard overriding neural;methodical;hierarchy;Card Buckinghamshire Product;Functionality;15507;84864;Digitized Tunnel JBOD;Cloned Table Borders;Azerbaijanian Dynamic;2023-04-18T05:24:10;Berkshire Solutions;2023-04-17T21:07:19;Awesome Jewelery asymmetric
96162efd-32f3-4b1e-b34e-2058cb3264c2;Account;true;Home JSON;payment auxiliary;synergistic unleash ivory;infomediaries;empower;TCP;synergy;Metrics;Home Account open-source;matrices;Account;service-desk;Games;sensor;UIC-Franc Pizza;74803;22937;Agent;Group Towels;Tunisia;2023-04-18T02:13:11;Djibouti withdrawal Chief;2023-04-18T00:15:31;Dynamic red Chair
7ba0d45b-8d00-465c-8e24-eec5aa43cde9;Marshall;true;Checking;USB payment Bhutan;Account HDD;the;Architect Hat Accountability;navigating;FTP schemas models;Democratic Sports;gold;synthesize;Marshall;transmitting;SCSI;envisioneer Persistent Gloves;Gloves redundant;38703;48884;cyan Euro Intelligent;platforms Table Green;maroon Persistent dynamic;2023-04-17T23:08:50;RAM;2023-04-18T05:32:39;invoice Arab models
3582af0f-04fe-459d-8cf6-9c7023b47802;Corporate eyeballs;false;compress line Bedfordshire;didactic Chicken;matrix hack Wooden;Palau mesh;hard Loan Implementation;Corporate;auxiliary mesh;foreground;target system;Loan;Corporate eyeballs;Shoals deposit;Assurance Plastic Product;Tennessee;Pizza Account Associate;21533;48690;HTTP Cross-group;Chair Chicken;Car SDR hack;2023-04-17T22:26:02;Computers;2023-04-18T06:26:08;Plastic Metal Human
