id;status;active;remarks;contents;document_title;officer_name;officer_phone_number;officer_position;officer_department;kelurahan_desa;kecamatan;kabupaten_kota;provinsi;pbp_tidak_ditemukan_1;alamat_pbp_tidak_ditemukan_1;pbp_pengganti_1;alamat_pbp_pengganti_1;pbp_tidak_ditemukan_2;alamat_pbp_tidak_ditemukan_2;pbp_pengganti_2;alamat_pbp_pengganti_2;pbp_tidak_ditemukan_3;alamat_pbp_tidak_ditemukan_3;pbp_pengganti_3;alamat_pbp_pengganti_3;pbp_tidak_ditemukan_4;alamat_pbp_tidak_ditemukan_4;pbp_pengganti_4;alamat_pbp_pengganti_4;pbp_tidak_ditemukan_5;alamat_pbp_tidak_ditemukan_5;pbp_pengganti_5;alamat_pbp_pengganti_5;created_date;created_by;last_modified_date;last_modified_by
d47a4ee9-b003-49cc-aa3a-9c1ac6849978;Sp;false;input Electronics;architecture Chips Virgin;Legacy Identity archive;Skyway Optimization Liaison;Home;auxiliary compress;synthesizing;withdrawal;Intelligent;Mayotte;Persistent;Keyboard;innovate Avon Cambridgeshire;Chief Sleek;generate;Gorgeous Lebanese;Fantastic Soft Cambridgeshire;Franc Senegal Drive;object-oriented middleware;(Chagos background;data-warehouse Specialist;portals;Product users;Tactics;compress;PCI;Towels Singapore;unleash hacking value-added;neural indexing;Cedi Home;Accounts generating e-business;2023-04-17T17:21:38;Licensed IB input;2023-04-17T10:15:33;Concrete indexing
ff4c6998-7d07-42e6-9b58-71a042e5877a;So;false;Integration payment;Account;object-oriented Market;Beauty payment Salad;synthesizing;up;Account Borders Global;Account;redundant navigating Street;blue Cambridgeshire;back-end Mississippi;Soap;Loaf Guyana Anguilla;Persevering;parsing;JSON Plastic transmitter;Concrete;override Account Gloves;withdrawal;mission-critical Toys;Keyboard;magenta Pizza;invoice;violet Cotton;Brazil;Card;Customer Garden Krona;e-commerce;Fresh Executive blockchains;Devolved Applications;PCI;2023-04-17T11:47:37;CSS;2023-04-17T21:21:03;e-services invoice
ea9dde53-e3d1-4367-bbe6-747ff64a21e9;SM;false;Automotive copy Money;Rubber;mobile;Account;Money HTTP deliver;Investment Kina;parsing Senior IB;Cambridgeshire olive;enable;Designer;Frozen;Macedonia;Iran d'Ivoire;turquoise Denar;hacking;Programmable violet;compelling;Product;hierarchy Squares product;enhance Chicken transmitting;Plains haptic Tools;International Metal;program Market Montana;Nepal microchip Harbor;port Guernsey applications;Loan Assistant;optimizing evolve extranet;ivory Metal Wooden;Wooden Dollar;Mobility azure SMS;deliverables;2023-04-17T10:05:40;Bike Electronics Lucia;2023-04-17T11:15:18;Forint open-source recontextualize
91927fc1-1c97-4251-a344-4bb47cd21212;HD;true;Refined;Metal;Rustic green;Refined Representative;Grocery;Buckinghamshire Functionality markets;Port;Oregon Fresh input;Illinois Account;Savings;Accountability withdrawal multi-byte;secondary Hryvnia;Bedfordshire;system time-frame navigate;e-business indigo;alarm;Auto Seychelles copy;attitude ADP redundant;Run Technician Planner;calculating;microchip Handmade mobile;Chair Universal;Harbors;superstructure ROI;Berkshire Georgia Integration;Tools maroon Hat;Loan;deposit;Buckinghamshire;Pre-emptive Tennessee;Optional;2023-04-18T03:08:12;administration;2023-04-17T15:42:18;Analyst Facilitator
e4192f41-9b2b-4864-a08a-d57e424e5ecd;ca;false;magnetic Savings invoice;Integrated;Expressway cross-platform;Card;Indiana;mission-critical Director;methodology Small;Forward Account;Money installation action-items;Tennessee;redundant;Account Japan up;Outdoors infomediaries Missouri;Plastic;program Baby Cambridgeshire;infrastructures copy Dynamic;neural;fuchsia;indexing stable Bacon;infomediaries Frozen payment;Principal;program;embrace Secured;facilitate;Organic Principal Buckinghamshire;Incredible salmon system;Hat Bacon;Rapid Alabama strategy;Berkshire Chair;programming Representative Berkshire;Market Account;2023-04-17T09:34:16;Accounts;2023-04-18T02:31:38;user
c5bbd6fc-8138-4a9d-90f6-8a57d0939e92;ba;true;haptic online Stand-alone;Implemented;Clothing frictionless transmitter;aggregate;Bacon;Pataca indigo;Keyboard;connect Direct Isle;online Ergonomic;Pre-emptive system bluetooth;mobile Uruguayo Tools;Cheese Communications;EXE bleeding-edge International;Forward Grocery;Future salmon program;primary haptic;redundant;Research Checking;Communications Plastic;deposit Group Computer;bandwidth;expedite;application;Function-based knowledge;Norfolk multi-byte Expressway;navigating panel Wooden;Incredible Dynamic;Burg Kids Soap;Automotive;Forward;programming;2023-04-17T23:06:47;driver;2023-04-18T04:43:25;functionalities pink
1941a0db-6486-4f1e-853a-6a6af0828bda;Av;true;Loan e-services Account;synergies;Kuwaiti Tennessee;bus Health user-centric;generate Squares program;Chicken microchip;Refined;demand-driven;Savings Planner capacitor;Islands Enterprise-wide e-tailers;granular SDD Games;New Account interface;B2B Incredible;Savings;turn-key;Profound Fresh;Seychelles;Rapids;Home deposit drive;Account Japan Granite;Garden;partnerships;Horizontal Account;Freeway lime;Bedfordshire Borders;platforms bypass Market;monitoring;bleeding-edge;Plastic SAS;alliance;Bedfordshire experiences;2023-04-17T21:58:40;Integration Producer;2023-04-18T01:51:59;GB
faf055ed-a0fa-4a86-8499-1cb50b9926c8;Wo;false;Granite driver;middleware generate silver;Plastic of structure;Wooden Functionality Avon;deposit;methodology Summit Turnpike;Small Awesome quantifying;Cliff;Fish;innovate;ivory Frozen Avon;product streamline Consultant;Money;reboot;COM;visionary;Technician Automotive real-time;Strategist bypassing;New;Uzbekistan;moderator orchid;PCI Account Unbranded;optimal;disintermediate capacitor;SCSI Keyboard alarm;holistic;National paradigms Usability;Facilitator Clothing;quantifying invoice;Soft Steel;Wooden end-to-end;2023-04-17T18:50:53;Reactive Lebanon;2023-04-17T11:56:54;Refined
25ca0ebb-31c0-4384-804d-3d10762aabd8;so;true;monitor Corporate;Guadeloupe transform;Persistent Computers Connecticut;brand;Music platforms Grocery;interfaces Slovenia Tennessee;PCI Granite Sleek;innovate optical;ivory Accountability Steel;Games International Licensed;index;Mobility back-end Alley;Account;systems bus;systemic Frozen Toys;proactive lime;Auto Dollar;Handcrafted digital;Unbranded bandwidth;haptic Factors;Seamless;Music Land program;THX withdrawal port;Missouri Harbor;web-enabled;payment Bedfordshire;Right-sized multi-byte;Garden Missouri;Points;compelling;payment deploy Australian;2023-04-17T13:57:15;Incredible;2023-04-18T07:57:15;Centralized software port
1e12fa01-f18e-47c0-999b-db6371c11f35;JB;false;invoice Berkshire;Beauty;Research;bypassing;multi-tasking;1080p 24/7 neural-net;Fantastic Granite quantify;systemic Reduced Jersey;compress program Soap;quantify Soft;redundant Investment;bricks-and-clicks executive transmitting;digital;Bedfordshire silver;Zloty Chips;Avon HDD;Central Frozen;Palladium Flat Island;Rupee Assurance;HDD;brand Analyst solid;indigo Planner Luxembourg;indexing;eco-centric;fuchsia;SMTP bypassing;bus Representative Shoes;bottom-line middleware;Sleek;bottom-line SSL;neural Account Awesome;2023-04-17T20:54:09;connect technologies;2023-04-18T02:26:34;Mobility XSS Forint
